DATE,YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,WATER_CONSUMPTION,ESTIMATED_POPULATION,DAY_OF_WEEK,IS_WEEKEND,IS_RAINY_SEASON
2013-01-01,2013,1,1,1.0,30.8,24.3,81.0,3,360,5976576.0,1557435.0,1,0,0
2013-01-02,2013,1,2,53.4,27.0,24.4,95.0,1,360,5964319.225806451,1557533.063013699,2,0,0
2013-01-03,2013,1,3,4.2,30.6,24.8,94.0,1,360,5952062.451612903,1557631.126027397,3,0,0
2013-01-04,2013,1,4,0.4,27.0,24.6,92.0,1,360,5939805.677419355,1557729.1890410958,4,0,0
2013-01-05,2013,1,5,0.2,32.0,24.0,83.0,1,360,5927548.903225807,1557827.2520547945,5,1,0
2013-01-06,2013,1,6,20.0,28.2,22.3,91.0,2,360,5915292.129032258,1557925.3150684931,6,1,0
2013-01-07,2013,1,7,13.8,27.1,23.0,89.0,2,360,5903035.354838709,1558023.3780821918,0,0,0
2013-01-08,2013,1,8,0.3,28.7,23.6,88.0,1,360,5890778.580645162,1558121.4410958905,1,0,0
2013-01-09,2013,1,9,3.4,30.0,23.8,88.0,2,360,5878521.806451613,1558219.5041095892,2,0,0
2013-01-10,2013,1,10,0.0,27.2,23.9,90.0,2,360,5866265.0322580645,1558317.5671232876,3,0,0
2013-01-11,2013,1,11,0.0,30.8,25.0,83.0,2,180,5854008.258064516,1558415.6301369865,4,0,0
2013-01-12,2013,1,12,0.4,30.7,24.7,84.0,1,200,5841751.483870968,1558513.693150685,5,1,0
2013-01-13,2013,1,13,0.0,32.7,24.7,82.0,1,180,5829494.70967742,1558611.7561643836,6,1,0
2013-01-14,2013,1,14,110.2,32.6,24.7,86.0,2,220,5817237.935483871,1558709.8191780825,0,0,0
2013-01-15,2013,1,15,1.6,32.9,23.8,82.0,2,70,5804981.161290322,1558807.8821917807,1,0,0
2013-01-16,2013,1,16,0.4,32.4,24.1,82.0,2,360,5792724.387096774,1558905.9452054794,2,0,0
2013-01-17,2013,1,17,0.0,32.4,24.4,79.0,2,180,5780467.612903226,1559004.008219178,3,0,0
2013-01-18,2013,1,18,0.2,32.6,24.7,77.0,3,360,5768210.838709678,1559102.0712328767,4,0,0
2013-01-19,2013,1,19,47.8,28.2,23.2,93.0,3,360,5755954.064516129,1559200.1342465754,5,1,0
2013-01-20,2013,1,20,17.4,26.1,23.4,86.0,2,40,5743697.29032258,1559298.197260274,6,1,0
2013-01-21,2013,1,21,20.9,26.7,23.6,92.0,2,360,5731440.516129033,1559396.2602739723,0,0,0
2013-01-22,2013,1,22,23.2,25.4,21.2,93.0,3,360,5719183.741935484,1559494.3232876712,1,0,0
2013-01-23,2013,1,23,0.0,31.0,23.7,81.0,2,360,5706926.967741936,1559592.38630137,2,0,0
2013-01-24,2013,1,24,12.8,31.4,24.3,84.0,2,360,5694670.193548387,1559690.4493150683,3,0,0
2013-01-25,2013,1,25,11.1,33.0,24.2,83.0,1,40,5682413.419354838,1559788.5123287672,4,0,0
2013-01-26,2013,1,26,33.4,31.0,23.6,89.0,2,360,5670156.645161291,1559886.5753424657,5,1,0
2013-01-27,2013,1,27,34.8,32.1,24.5,83.0,2,40,5657899.870967742,1559984.6383561643,6,1,0
2013-01-28,2013,1,28,0.0,30.2,23.6,88.0,2,360,5645643.096774193,1560082.701369863,0,0,0
2013-01-29,2013,1,29,0.0,31.6,24.3,83.0,2,360,5633386.322580645,1560180.7643835617,1,0,0
2013-01-30,2013,1,30,19.6,29.0,24.4,88.0,1,20,5621129.548387097,1560278.8273972603,2,0,0
2013-01-31,2013,1,31,0.0,32.8,23.2,78.0,2,360,5608872.774193549,1560376.8904109588,3,0,0
2013-02-01,2013,2,1,0.0,32.6,24.4,79.0,2,90,5596616.0,1560474.9534246577,4,0,0
2013-02-02,2013,2,2,0.0,30.2,24.6,80.0,3,360,5595209.25,1560573.016438356,5,1,0
2013-02-03,2013,2,3,0.0,32.3,23.5,70.0,3,360,5593802.5,1560671.0794520548,6,1,0
2013-02-04,2013,2,4,0.0,31.5,24.9,80.0,3,360,5592395.75,1560769.1424657537,0,0,0
2013-02-05,2013,2,5,0.0,32.4,23.9,76.0,2,180,5590989.0,1560867.2054794522,1,0,0
2013-02-06,2013,2,6,0.0,31.6,23.2,80.0,1,360,5589582.25,1560965.2684931506,2,0,0
2013-02-07,2013,2,7,0.0,33.0,24.6,75.0,2,360,5588175.5,1561063.3315068493,3,0,0
2013-02-08,2013,2,8,0.0,30.6,24.6,79.0,2,360,5586768.75,1561161.394520548,4,0,0
2013-02-09,2013,2,9,54.0,32.1,23.6,83.0,2,40,5585362.0,1561259.4575342466,5,1,0
2013-02-10,2013,2,10,0.0,31.1,22.9,77.0,2,360,5583955.25,1561357.5205479453,6,1,0
2013-02-11,2013,2,11,0.0,31.9,23.9,78.0,2,360,5582548.5,1561455.5835616435,0,0,0
2013-02-12,2013,2,12,0.0,32.0,23.6,78.0,2,360,5581141.75,1561553.6465753424,1,0,0
2013-02-13,2013,2,13,0.0,32.1,24.2,77.0,2,360,5579735.0,1561651.709589041,2,0,0
2013-02-14,2013,2,14,0.0,32.8,23.8,73.0,2,360,5578328.25,1561749.7726027395,3,0,0
2013-02-15,2013,2,15,0.0,31.5,24.9,80.0,3,20,5576921.5,1561847.8356164384,4,0,0
2013-02-16,2013,2,16,1.6,30.0,24.2,79.0,4,360,5575514.75,1561945.898630137,5,1,0
2013-02-17,2013,2,17,5.2,30.0,23.7,82.0,3,360,5574108.0,1562043.9616438355,6,1,0
2013-02-18,2013,2,18,64.1,28.6,23.7,91.0,3,360,5572701.25,1562142.0246575342,0,0,0
2013-02-19,2013,2,19,7.2,28.8,25.1,91.0,1,360,5571294.5,1562240.0876712329,1,0,0
2013-02-20,2013,2,20,20.8,31.3,24.0,88.0,1,360,5569887.75,1562338.1506849315,2,0,0
2013-02-21,2013,2,21,20.2,32.0,25.3,86.0,1,90,5568481.0,1562436.2136986302,3,0,0
2013-02-22,2013,2,22,37.5,28.0,24.2,94.0,1,360,5567074.25,1562534.276712329,4,0,0
2013-02-23,2013,2,23,1.4,31.7,24.6,83.0,3,360,5565667.5,1562632.339726027,5,1,0
2013-02-24,2013,2,24,0.0,32.6,23.5,79.0,2,360,5564260.75,1562730.402739726,6,1,0
2013-02-25,2013,2,25,0.0,32.3,24.4,75.0,2,360,5562854.0,1562828.465753425,0,0,0
2013-02-26,2013,2,26,0.0,32.1,24.6,79.0,2,360,5561447.25,1562926.5287671234,1,0,0
2013-02-27,2013,2,27,0.0,32.3,24.2,77.0,3,360,5560040.5,1563024.591780822,2,0,0
2013-02-28,2013,2,28,0.0,33.5,24.2,71.0,3,360,5558633.75,1563122.6547945205,3,0,0
2013-03-01,2013,3,1,0.0,32.6,25.0,71.0,3,360,5557227.0,1563220.7178082191,4,0,0
2013-03-02,2013,3,2,0.0,33.7,25.2,71.0,4,360,5564030.612903226,1563318.7808219178,5,1,0
2013-03-03,2013,3,3,0.0,33.1,24.6,78.0,4,360,5570834.225806451,1563416.8438356165,6,1,0
2013-03-04,2013,3,4,8.6,29.5,23.9,82.0,2,360,5577637.838709678,1563514.9068493152,0,0,0
2013-03-05,2013,3,5,0.0,32.2,24.3,76.0,4,360,5584441.451612903,1563612.9698630136,1,0,0
2013-03-06,2013,3,6,0.0,29.8,24.9,79.0,3,360,5591245.064516129,1563711.0328767125,2,0,0
2013-03-07,2013,3,7,1.6,33.0,24.6,79.0,2,360,5598048.677419355,1563809.095890411,3,0,0
2013-03-08,2013,3,8,4.5,31.7,25.2,82.0,2,360,5604852.29032258,1563907.1589041096,4,0,0
2013-03-09,2013,3,9,0.0,32.4,24.8,82.0,2,40,5611655.903225807,1564005.2219178083,5,1,0
2013-03-10,2013,3,10,13.0,32.6,24.0,85.0,2,40,5618459.516129033,1564103.284931507,6,1,0
2013-03-11,2013,3,11,2.4,33.4,23.8,79.0,2,360,5625263.129032258,1564201.3479452054,0,0,0
2013-03-12,2013,3,12,1.0,32.6,24.7,79.0,2,70,5632066.741935484,1564299.410958904,1,0,0
2013-03-13,2013,3,13,0.0,33.0,24.3,75.0,2,360,5638870.354838709,1564397.4739726027,2,0,0
2013-03-14,2013,3,14,0.0,33.7,24.0,69.0,2,360,5645673.967741936,1564495.5369863014,3,0,0
2013-03-15,2013,3,15,0.0,33.1,23.9,68.0,3,360,5652477.580645162,1564593.6,4,0,0
2013-03-16,2013,3,16,4.2,32.0,23.9,78.0,3,360,5659281.193548387,1564691.6630136983,5,1,0
2013-03-17,2013,3,17,0.1,30.8,23.4,82.0,3,360,5666084.806451613,1564789.7260273972,6,1,0
2013-03-18,2013,3,18,4.1,33.0,24.8,76.0,2,180,5672888.419354838,1564887.789041096,0,0,0
2013-03-19,2013,3,19,0.0,33.4,23.4,78.0,2,360,5679692.0322580645,1564985.8520547946,1,0,0
2013-03-20,2013,3,20,0.8,33.6,24.5,71.0,2,360,5686495.645161291,1565083.9150684932,2,0,0
2013-03-21,2013,3,21,0.0,32.0,24.4,81.0,2,360,5693299.258064516,1565181.9780821917,3,0,0
